"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT10","WT11","WT13","WT14","WT16","WT21"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-04","9.40",,,"3.40",,,"75","66","   10","  360","33.1","40.9",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-05","7.83",,,"0.03",,,"84","66","   10","   20","16.1","21.0",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-06","10.07",,,"0.00",,,"79","64","   20","   20","16.1","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-07","6.71",,,"0.00",,,"80","65","   80","  110","14.1","17.9",,,,,,,"    1",,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-08","3.13",,,"0.00",,,"81","60","  200","   20","10.1","14.1",,,,,,,"    1",,,"    1",,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-09","4.70",,,"0.00",,,"82","64","   50","   50","16.1","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-10","4.03",,,"0.00",,,"84","64","  360","  360","13.0","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-11","5.59",,,"0.04",,,"86","66","  350","  340","17.0","23.0",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-12","7.83",,,"0.00",,,"79","63","   50","   60","17.0","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-13","8.05",,,"0.00",,,"83","66","  140","  160","15.0","19.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-14","11.86",,,"0.00",,,"85","66","  150","  150","21.9","28.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-15","12.97",,,"0.00",,,"87","70","  170","  180","28.0","34.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-16","7.61",,,"0.32",,,"87","70","  240","  250","21.9","29.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-17","10.29",,,"1.01",,,"79","62","   30","   30","32.0","38.9","    1",,,,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-18","11.41",,,"0.00",,,"79","60","   10","  360","17.0","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-19","5.37",,,"0.00",,,"81","63","   40","  360","13.0","17.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-20","4.70",,,"0.00",,,"81","61","  230","  240","12.1","15.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-21","11.41",,,"0.63",,,"72","57","   10","  330","23.0","31.1",,,"    1",,,,,,,"    1",,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-22","13.20",,,"0.00",,,"79","56","   10","  310","23.0","31.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-23","14.99",,,"0.00",,,"72","58","   10","  360","23.9","31.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-24","6.26",,,"0.00",,,"76","53","  180","  200","16.1","21.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-25","10.07",,,"0.00",,,"84","59","  190","  190","17.9","21.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-26","10.96",,,"0.00",,,"85","66","  200","  220","17.9","23.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-27","8.05",,,"0.00",,,"84","67","  180","  210","17.0","23.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-28","8.50",,,"0.00",,,"85","66","  190","  170","17.9","21.9",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-29","8.05",,,"0.00",,,"86","70","  150","  140","16.1","21.0","    1",,,,,,,,,,,,"    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-04-30","5.59",,,"0.00",,,"88","68","  160","  170","13.0","16.1","    1",,,,,,,,,,,,"    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-01","8.50",,,"0.00",,,"88","69","  100","  120","21.0","29.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-02","9.84",,,"0.12",,,"88","73","  170","  130","25.1","33.1",,,"    1",,,,,,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-03","5.82",,,"0.00",,,"88","72","   30","   40","12.1","16.1",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-04","3.13",,,"0.00",,,"90","71","  150","   20","12.1","15.0",,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-05","4.92",,,"0.06",,,"90","73","  180","  190","14.1","17.0",,,,,,,"    1",,,,,"    1",
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-06","5.14",,,"0.10",,,"89","72","   80","   80","14.1","23.0","    1",,,,,,,,,"    1",,"    1","    1"
"USW00012916","NEW ORLEANS AIRPORT, LA US","2012-05-07","6.49",,,"0.09",,,"89","72","   10","   10","30.0","36.0",,,"    1",,,,,,,"    1",,"    1","    1"
