"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-04","12.75",,"0.00",,"0.0","0.0",,"71","48",,"  340","  350","32.0","40.9",,,,,,,,,,,,,"    1",,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-05","12.53",,"0.00",,"0.0","0.0",,"60","42",,"  340","  340","25.9","31.1",,,,,,,,,,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-06","12.08",,"0.00",,"0.0","0.0",,"60","38",,"  350","  320","25.9","31.1",,,,,,,,,,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-07","15.21",,"0.00",,"0.0","0.0",,"63","41",,"  310","  300","28.0","34.9",,,,,,,,,,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-08","15.21",,"0.00",,"0.0","0.0",,"70","43",,"  290","  290","28.0","38.0",,,,,,,,,,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-09","18.79",,"0.00",,"0.0","0.0",,"66","50",,"  280","  280","38.9","49.0",,,,,,,,,,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-10","12.75",,"0.00",,"0.0","0.0",,"63","42",,"  260","  250","25.1","33.1",,,,,,,,,,,,,"    1",,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-11","11.41",,"0.00",,"0.0","0.0",,"55","44",,"  320","  300","17.0","28.0",,,,,,,,,,,,,"    1",,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-12","12.75",,"0.00",,"0.0","0.0",,"62","43",,"   10","  360","25.9","30.0",,,,,,,,,,,,,"    1",,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-13","7.38",,"0.00",,"0.0","0.0",,"67","40",,"  270","  270","16.1","23.0",,,,,,,,,,,,,,,,
